gid,event,inning,top_bot,vis_home,site,batteam,pitteam,score_v,score_h,batter,pitcher,lp,bat_f,bathand,pithand,balls,strikes,count,pitches,nump,pa,ab,single,double,triple,hr,sh,sf,hbp,walk,k,xi,roe,fc,othout,noout,oth,bip,bunt,ground,fly,line,iw,gdp,othdp,tp,fle,wp,pb,bk,oa,di,sb2,sb3,sbh,cs2,cs3,csh,pko1,pko2,pko3,k_safe,e1,e2,e3,e4,e5,e6,e7,e8,e9,outs_pre,outs_post,br1_pre,br2_pre,br3_pre,br1_post,br2_post,br3_post,lob_id1,lob_id2,lob_id3,pr1_pre,pr2_pre,pr3_pre,pr1_post,pr2_post,pr3_post,run_b,run1,run2,run3,prun_b,prun1,prun2,prun3,ur_b,ur1,ur2,ur3,rbi_b,rbi1,rbi2,rbi3,runs,rbi,er,tur,l1,l2,l3,l4,l5,l6,l7,l8,l9,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,f2,f3,f4,f5,f6,f7,f8,f9,po0,po1,po2,po3,po4,po5,po6,po7,po8,po9,a1,a2,a3,a4,a5,a6,a7,a8,a9,fseq,batout1,batout2,batout3,brout_b,brout1,brout2,brout3,firstf,loc,hittype,dpopp,pivot,pn,umphome,ump1b,ump2b,ump3b,umplf,umprf,date,gametype,pbp
NLS202507150,8/F8D,6,0,0,ATL03,ALS,NLS,0,2,greer003,abboa001,2,7.0,L,L,1,1,11,FBX,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,chisj001,greer003,arozr001,ralec001,aranj001,ohear001,camij001,buxtb001,wittb002,4,7,9,2,3,10,5,8,6,goodh001,alonp001,donob001,suare001,delae003,stowk001,carrc005,tatif002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,8,0,0,0,0,0,0,8,8D+,F,0,0,39,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,13/G23-,6,0,0,ATL03,ALS,NLS,0,2,arozr001,abboa001,3,9.0,R,L,1,2,12,CBCX,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,chisj001,greer003,arozr001,ralec001,aranj001,ohear001,camij001,buxtb001,wittb002,4,7,9,2,3,10,5,8,6,goodh001,alonp001,donob001,suare001,delae003,stowk001,carrc005,tatif002,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,1,0,0,0,0,0,0,1,23-,G,0,0,40,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,W,6,1,1,ATL03,NLS,ALS,0,2,tatif002,bubik001,2,9.0,R,L,3,2,32,....BCBBSB,6.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,tatif002,,,,,,,,,bubik001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,41,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,SB2,6,1,1,ATL03,NLS,ALS,0,2,donob001,bubik001,3,4.0,L,L,1,0,10,B>B,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tatif002,,,,tatif002,,,,,bubik001,,,,bubik001,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,42,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,S6/G6.2-3,6,1,1,ATL03,NLS,ALS,0,2,donob001,bubik001,3,4.0,L,L,2,1,21,B>B.FX,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,tatif002,,donob001,,tatif002,,,,,bubik001,,bubik001,,bubik001,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,6+,G,0,0,43,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,HR/F9LD.3-H;1-H,6,1,1,ATL03,NLS,ALS,0,2,alonp001,bubik001,4,3.0,R,L,1,0,10,BX,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,donob001,,tatif002,,,,,,,bubik001,,bubik001,,,,alonp001,donob001,,tatif002,bubik001,bubik001,,bubik001,0,0,0,0,1,1,0,1,3,3,3,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,44,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,43/G4,6,1,1,ATL03,NLS,ALS,0,5,suare001,bubik001,5,5.0,R,L,1,1,11,BFX,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43.0,4,0,0,0,0,0,0,4,4+,G,0,0,45,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,8/F78D,6,1,1,ATL03,NLS,ALS,0,5,goodh001,mizec001,6,2.0,R,R,0,1,1,.FX,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,8,0,0,0,0,0,0,8,78D+,F,0,0,46,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,HR/F89XD,6,1,1,ATL03,NLS,ALS,0,5,carrc005,mizec001,7,8.0,L,R,1,2,12,FBSX,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,carrc005,,,,mizec001,,,,0,0,0,0,1,0,0,0,1,1,1,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,47,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,K,6,1,1,ATL03,NLS,ALS,0,6,delae003,mizec001,8,6.0,B,R,1,2,12,SBSS,4.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,schwk001,tatif002,donob001,alonp001,suare001,goodh001,carrc005,delae003,stowk001,11,9,4,3,5,2,8,6,7,kirka001,aranj001,chisj001,garcm003,wittb002,kwans001,buxtb001,arozr001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,,,0,0,48,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
